trade_num,side,exit_type,net_pnl,strike,expiry,spot_r,spot_p,bid_entry,ask_entry,mark_entry,delta_p,delta_r
319,Short put,ask,493.66,60000.0,10APR26,66728.0,66749.0,0.0095,0.0105,0.01,0.16,0.15
320,Short put,ask,456.25,60000.0,10APR26,67441.0,67478.0,0.008,0.0085,0.0082,0.136,0.15
321,Short put,ask,439.84,60000.0,10APR26,67630.0,67658.0,0.0075,0.008,0.0077,0.13,0.15
322,Short put,ask,714.09,60000.0,17APR26,66584.0,66611.0,0.012,0.0125,0.0121,0.176,0.15
323,Short put,ask,356.5,63000.0,17APR26,69177.0,69241.0,0.0065,0.007,0.0069,0.141,0.15
324,Short put,ask,390.11,64000.0,24APR26,70996.0,71033.0,0.007,0.0075,0.0074,0.139,0.15
325,Short put,ask,377.64,66000.0,24APR26,72116.0,72190.0,0.0075,0.0085,0.008,0.157,0.15
326,Short put,ask,435.93,67000.0,24APR26,72757.0,72791.0,0.0075,0.0085,0.008,0.164,0.15
327,Short put,ask,349.83,65000.0,24APR26,71734.0,71723.0,0.0065,0.007,0.007,0.139,0.15
328,Short put,ask,388.06,65000.0,24APR26,70896.0,70892.0,0.0065,0.0075,0.0069,0.148,0.15
329,Short put,ask,299.76,68000.0,24APR26,74241.0,74255.0,0.0055,0.006,0.0056,0.132,0.15
330,Short put,ask,379.12,68000.0,1MAY26,75059.0,75112.0,0.007,0.0075,0.0073,0.141,0.15
331,Short put,ask,319.21,68000.0,1MAY26,74656.0,74691.0,0.006,0.007,0.0066,0.138,0.15
332,Short put,ask,432.26,71000.0,1MAY26,77167.0,77131.0,0.0075,0.0085,0.008,0.164,0.15
333,Short put,ask,481.4,69000.0,1MAY26,75580.0,75558.0,0.0075,0.0085,0.008,0.156,0.15
334,Short put,ask,416.86,70000.0,1MAY26,75836.0,75775.0,0.0065,0.0075,0.007,0.157,0.15
335,Short put,ask,99.85,71000.0,8MAY26,78049.0,78022.0,0.007,0.0075,0.0073,0.146,0.15
336,Short put,ask,313.65,71000.0,8MAY26,77963.0,77950.0,0.0065,0.007,0.0067,0.14,0.15
337,Short put,ask,335.27,72000.0,8MAY26,77542.0,77510.0,0.006,0.0065,0.0062,0.154,0.15
338,Short put,ask,307.58,72000.0,8MAY26,78007.0,77956.0,0.0055,0.006,0.0059,0.143,0.15
